"","Sex","ag","n_draw","prob_symptoms_str"
"655","Male","15-24",55,0.174853709142473
"656","Male","2-14",55,0.116569139428316
"657","Male","25-34",55,0.233138278856631
"658","Male","35-49",55,0.291422848570789
"659","Male","50+",55,0.349707418284947
"660","Male","<2",55,0.0582845697141578
"661","Female","15-24",56,0.263070964491533
"662","Female","2-14",56,0.175380642994355
"663","Female","25-34",56,0.350761285988711
"664","Female","35-49",56,0.438451607485889
"665","Female","50+",56,0.526141928983066
"666","Female","<2",56,0.0876903214971777
"667","Male","15-24",56,0.263070964491533
"668","Male","2-14",56,0.175380642994355
"669","Male","25-34",56,0.350761285988711
"670","Male","35-49",56,0.438451607485889
"671","Male","50+",56,0.526141928983066
"672","Male","<2",56,0.0876903214971777
"673","Female","15-24",57,0.281629577182334
"674","Female","2-14",57,0.187753051454889
"675","Female","25-34",57,0.375506102909778
"676","Female","35-49",57,0.469382628637223
"677","Female","50+",57,0.563259154364667
"678","Female","<2",57,0.0938765257274446
"679","Male","15-24",57,0.281629577182334
"680","Male","2-14",57,0.187753051454889
"681","Male","25-34",57,0.375506102909778
"682","Male","35-49",57,0.469382628637223
"683","Male","50+",57,0.563259154364667
"684","Male","<2",57,0.0938765257274446
"685","Female","15-24",58,0.423633016282296
"686","Female","2-14",58,0.282422010854864
"687","Female","25-34",58,0.564844021709729
"688","Female","35-49",58,0.706055027137161
"689","Female","50+",58,0.847266032564593
"690","Female","<2",58,0.141211005427432
"691","Male","15-24",58,0.423633016282296
"692","Male","2-14",58,0.282422010854864
"693","Male","25-34",58,0.564844021709729
"694","Male","35-49",58,0.706055027137161
"695","Male","50+",58,0.847266032564593
"696","Male","<2",58,0.141211005427432
"697","Female","15-24",59,0.225530499604021
"698","Female","2-14",59,0.15035366640268
"699","Female","25-34",59,0.300707332805361
